"title","author","journal","number","cites","year","cid","pubid","citation"
"Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936","MPC Cherrie, NK Shortt, RJ Mitchell, AM Taylor, P Redmond, ...","Social Science & Medicine","196, 56-65",105,2018,"16794652531611244217",NA,"MPC Cherrie, NK Shortt, RJ Mitchell, AM Taylor, P Redmond, ... (2018) Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936.Social Science & Medicine, 196, 56-65"
"Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study","I Alcock, M White, M Cherrie, B Wheeler, J Taylor, R McInnes, ...","Environment international","109, 29-41",91,2017,"10538603330853358236",NA,"I Alcock, M White, M Cherrie, B Wheeler, J Taylor, R McInnes, ... (2017) Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study.Environment international, 109, 29-41"
"Life course of place: A longitudinal study of mental health and place","J Pearce, M Cherrie, N Shortt, I Deary, C Ward Thompson","Transactions of the Institute of British Geographers","43 (4), 555-572",71,2018,"4852555408792423177",NA,"J Pearce, M Cherrie, N Shortt, I Deary, C Ward Thompson (2018) Life course of place: A longitudinal study of mental health and place.Transactions of the Institute of British Geographers, 43 (4), 555-572"
"Ultraviolet A radiation and COVID-19 deaths in the USA with replication studies in England and Italy","M Cherrie, T Clemens, C Colandrea, Z Feng, DJ Webb, RB Weller, ...","British Journal of Dermatology","185 (2), 363-370",38,2021,"14086051711664162584,9149788818830272518",NA,"M Cherrie, T Clemens, C Colandrea, Z Feng, DJ Webb, RB Weller, ... (2021) Ultraviolet A radiation and COVID19 deaths in the USA with replication studies in England and Italy.British Journal of Dermatology, 185 (2), 363-370"
"Pathogen seasonality and links with weather in England and Wales: a big data time series analysis","MPC Cherrie, G Nichols, GL Iacono, C Sarran, S Hajat, LE Fleming","BMC Public Health","18 (1), 1-13",35,2018,"12724194856594186117",NA,"MPC Cherrie, G Nichols, GL Iacono, C Sarran, S Hajat, LE Fleming (2018) Pathogen seasonality and links with weather in England and Wales: a big data time series analysis.BMC Public Health, 18 (1), 1-13"
"Coastal climate is associated with elevated solar irradiance and higher 25 (OH) D level","MPC Cherrie, BW Wheeler, MP White, CE Sarran, NJ Osborne","Environment International","77, 76-84",21,2015,"10341123965910412343",NA,"MPC Cherrie, BW Wheeler, MP White, CE Sarran, NJ Osborne (2015) Coastal climate is associated with elevated solar irradiance and higher 25 (OH) D level.Environment International, 77, 76-84"
"Life course air pollution exposure and cognitive decline: modelled historical air pollution data and the Lothian Birth Cohort 1936","TC Russ, MPC Cherrie, C Dibben, S Tomlinson, S Reis, U Dragosits, ...","Journal of Alzheimer's Disease","1-12",20,2021,"15137778068329220990,18131252385553010596",NA,"TC Russ, MPC Cherrie, C Dibben, S Tomlinson, S Reis, U Dragosits, ... (2021) Life course air pollution exposure and cognitive decline: modelled historical air pollution data and the Lothian Birth Cohort 1936.Journal of Alzheimer's Disease, 1-12"
"Association between the activity space exposure to parks in childhood and adolescence and cognitive aging in later life","MPC Cherrie, NK Shortt, C Ward Thompson, IJ Deary, JR Pearce","International journal of environmental research and public health","16 (4), 632",18,2019,"4055504183926195428",NA,"MPC Cherrie, NK Shortt, C Ward Thompson, IJ Deary, JR Pearce (2019) Association between the activity space exposure to parks in childhood and adolescence and cognitive aging in later life.International journal of environmental research and public health, 16 (4), 632"
"Contamination of air and surfaces in workplaces with SARS-CoV-2 virus: a systematic review","JW Cherrie, MPC Cherrie, A Smith, D Holmes, S Semple, S Steinle, ...","Annals of work exposures and health","65 (8), 879-892",16,2021,"16748972577252818383",NA,"JW Cherrie, MPC Cherrie, A Smith, D Holmes, S Semple, S Steinle, ... (2021) Contamination of air and surfaces in workplaces with SARS-CoV-2 virus: a systematic review.Annals of work exposures and health, 65 (8), 879-892"
"Changing labour market conditions during the ‘great recession’and mental health in Scotland 2007–2011: an example using the Scottish Longitudinal Study and data for local areas …","S Curtis, J Pearce, M Cherrie, C Dibben, N Cunningham, C Bambra","Social Science & Medicine","227, 1-9",16,2019,"1088518814789439133",NA,"S Curtis, J Pearce, M Cherrie, C Dibben, N Cunningham, C Bambra (2019) Changing labour market conditions during the great recessionand mental health in Scotland 20072011: an example using the Scottish Longitudinal Study and data for local areas .Social Science & Medicine, 227, 1-9"
"UVA and seasonal patterning of 56 370 myocardial infarctions across Scotland, 2000–2011","DF Mackay, TL Clemens, CE Hastie, MPC Cherrie, C Dibben, JP Pell","Journal of the American Heart Association","8 (23), e012551",13,2019,"2409555234086302591",NA,"DF Mackay, TL Clemens, CE Hastie, MPC Cherrie, C Dibben, JP Pell (2019) UVA and seasonal patterning of 56 370 myocardial infarctions across Scotland, 20002011.Journal of the American Heart Association, 8 (23), e012551"
"The impact of the point of sale tobacco display ban on young people in Scotland: before and after study","S Haw, DB Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ...","Public Health Research","",11,2020,"229267316272474835",NA,"S Haw, DB Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ... (2020) The impact of the point of sale tobacco display ban on young people in Scotland: before and after study.Public Health Research, "
"A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol","A Nioi, C Wendelboe-Nelson, S Cowan, H Cowie, S Rashid, P Ritchie, ...","BMC public health","18 (1), 1-8",11,2018,"10410327446227770263",NA,"A Nioi, C Wendelboe-Nelson, S Cowan, H Cowie, S Rashid, P Ritchie, ... (2018) A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol.BMC public health, 18 (1), 1-8"
"How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study","J Pearce, M Cherrie, C Best, D Eadie, M Stead, A Amos, D Currie, ...","Tobacco Control","29 (2), 168-174",9,2020,"15581106124869290965",NA,"J Pearce, M Cherrie, C Best, D Eadie, M Stead, A Amos, D Currie, ... (2020) How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study.Tobacco Control, 29 (2), 168-174"
"Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 2011–17","S Curtis, N Cunningham, J Pearce, P Congdon, M Cherrie, S Atkinson","Social Science & Medicine","270, 113654",7,2021,"4803877324500121120",NA,"S Curtis, N Cunningham, J Pearce, P Congdon, M Cherrie, S Atkinson (2021) Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 201117.Social Science & Medicine, 270, 113654"
"Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey","S Rhodes, J Wilkinson, N Pearce, W Mueller, M Cherrie, K Stocking, ...","J Epidemiol Community Health","76 (10), 841-846",6,2022,"17138889190303884698,18296023280174167472,13551926155101113715",NA,"S Rhodes, J Wilkinson, N Pearce, W Mueller, M Cherrie, K Stocking, ... (2022) Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey.J Epidemiol Community Health, 76 (10), 841-846"
"Exposure to solar UV during outdoor construction work in Britain","JW Cherrie, A Nioi, C Wendelboe-Nelson, S Cowan, M Cherrie, S Rashid, ...","Annals of Work Exposures and Health","65 (2), 176-182",6,2021,"13144092145059493408",NA,"JW Cherrie, A Nioi, C Wendelboe-Nelson, S Cowan, M Cherrie, S Rashid, ... (2021) Exposure to solar UV during outdoor construction work in Britain.Annals of Work Exposures and Health, 65 (2), 176-182"
"Neighborhood crime and psychotropic medications: a longitudinal data linkage study of 130,000 Scottish adults","G Baranyi, M Cherrie, S Curtis, C Dibben, JR Pearce","American Journal of Preventive Medicine","58 (5), 638-647",6,2020,"10697637916363320767",NA,"G Baranyi, M Cherrie, S Curtis, C Dibben, JR Pearce (2020) Neighborhood crime and psychotropic medications: a longitudinal data linkage study of 130,000 Scottish adults.American Journal of Preventive Medicine, 58 (5), 638-647"
"Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children","CE Hastie, DF Mackay, TL Clemens, MPC Cherrie, A King, C Dibben, ...","Scientific Reports","9 (1), 1-6",6,2019,"10573800369379455187",NA,"CE Hastie, DF Mackay, TL Clemens, MPC Cherrie, A King, C Dibben, ... (2019) Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children.Scientific Reports, 9 (1), 1-6"
"A data linkage study of the effects of the Great Recession and austerity on antidepressant prescription usage","M Cherrie, S Curtis, G Baranyi, N Cunningham, C Dibben, C Bambra, ...","European Journal of Public Health","31 (2), 297-303",5,2021,"9391049589964061995",NA,"M Cherrie, S Curtis, G Baranyi, N Cunningham, C Dibben, C Bambra, ... (2021) A data linkage study of the effects of the Great Recession and austerity on antidepressant prescription usage.European Journal of Public Health, 31 (2), 297-303"
"Association between serum 25-hydroxy vitamin D levels and the prevalence of adult-onset asthma","MPC Cherrie, C Sarran, NJ Osborne","International journal of environmental research and public health","15 (6), 1103",5,2018,"7230663357000808127",NA,"MPC Cherrie, C Sarran, NJ Osborne (2018) Association between serum 25-hydroxy vitamin D levels and the prevalence of adult-onset asthma.International journal of environmental research and public health, 15 (6), 1103"
"Use of sequence analysis for classifying individual antidepressant trajectories to monitor population mental health","M Cherrie, S Curtis, G Baranyi, S McTaggart, N Cunningham, K Licence, ...","BMC psychiatry","20 (1), 1-10",4,2020,"5164879511570673300",NA,"M Cherrie, S Curtis, G Baranyi, S McTaggart, N Cunningham, K Licence, ... (2020) Use of sequence analysis for classifying individual antidepressant trajectories to monitor population mental health.BMC psychiatry, 20 (1), 1-10"
"Changing levels of local crime and mental health: a natural experiment using self-reported and service use data in Scotland","G Baranyi, M Cherrie, SE Curtis, C Dibben, J Pearce","J Epidemiol Community Health","74 (10), 806-814",4,2020,"10241894191431047787",NA,"G Baranyi, M Cherrie, SE Curtis, C Dibben, J Pearce (2020) Changing levels of local crime and mental health: a natural experiment using self-reported and service use data in Scotland.J Epidemiol Community Health, 74 (10), 806-814"
"Nudging construction workers towards better sun-safety behaviour: summary of the evidence for practitioners","A Nioi, C Wendelboe-Nelson, S Cowan, M Cherrie, S Rashid, H Cowie, ...","Policy and Practice in Health and Safety","18 (1), 25-33",3,2020,"12995515717029059711",NA,"A Nioi, C Wendelboe-Nelson, S Cowan, M Cherrie, S Rashid, H Cowie, ... (2020) Nudging construction workers towards better sun-safety behaviour: summary of the evidence for practitioners.Policy and Practice in Health and Safety, 18 (1), 25-33"
"Recession, local employment trends and change in self-reported health of individuals: A longitudinal study in England and Wales during the'great recession'","S Curtis, P Norman, R Cookson, M Cherrie, J Pearce","Health and Place","59, 102174",3,2019,"3513330299054222889",NA,"S Curtis, P Norman, R Cookson, M Cherrie, J Pearce (2019) Recession, local employment trends and change in self-reported health of individuals: A longitudinal study in England and Wales during the'great recession'.Health and Place, 59, 102174"
"Climatic factors are associated with asthma prevalence: An ecological study using English quality outcomes framework general practitioner practice data","MPC Cherrie, C Sarran, NJ Osborne","Science of The Total Environment","779, 146478",2,2021,"8074530741567488121",NA,"MPC Cherrie, C Sarran, NJ Osborne (2021) Climatic factors are associated with asthma prevalence: An ecological study using English quality outcomes framework general practitioner practice data.Science of The Total Environment, 779, 146478"
"Nudging construction workers towards better sun safety behaviour","A Nioi¹, C Wendelboe-Nelson¹, S Cowan, M Cherrie, S Rashid, H Cowie, ...","","",2,2019,"941623383562462750",NA,"A Nioi¹, C Wendelboe-Nelson¹, S Cowan, M Cherrie, S Rashid, H Cowie, ... (2019) Nudging construction workers towards better sun safety behaviour., "
"The relationship between greenspace and personal exposure to PM2. 5 during walking trips in Delhi, India","W Mueller, P Wilkinson, J Milner, M Loh, S Vardoulakis, Z Petard, ...","Environmental Pollution","305, 119294",1,2022,"2101549785257811628",NA,"W Mueller, P Wilkinson, J Milner, M Loh, S Vardoulakis, Z Petard, ... (2022) The relationship between greenspace and personal exposure to PM2. 5 during walking trips in Delhi, India.Environmental Pollution, 305, 119294"
"O-312 Occupational exposure levels of solar ultraviolet radiation: an EPHOR review","ET Würtz, M Cherrie, C Ge, K Grandahl, J Hansen, A Dahlman-Höglund, ...","Occupational and Environmental Medicine","78 (Suppl 1), A46-A46",1,2021,"454977263216816742",NA,"ET Würtz, M Cherrie, C Ge, K Grandahl, J Hansen, A Dahlman-Höglund, ... (2021) O-312 Occupational exposure levels of solar ultraviolet radiation: an EPHOR review.Occupational and Environmental Medicine, 78 (Suppl 1), A46-A46"
"Small retailers’ perspectives on the implementation and impact of point-of-sale legislation","S Haw, D Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ...","The impact of the point-of-sale tobacco display ban on young people in …","",1,2020,"11634316020384771333,16146560906888464485,9559449425218663418",NA,"S Haw, D Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ... (2020) Small retailers perspectives on the implementation and impact of point-of-sale legislation.The impact of the point-of-sale tobacco display ban on young people in , "
"Workplace exposure to UV radiation and strategies to minimize cancer risk","JW Cherrie, MPC Cherrie","British Medical Bulletin","1, 12",0,2022,NA,NA,"JW Cherrie, MPC Cherrie (2022) Workplace exposure to UV radiation and strategies to minimize cancer risk.British Medical Bulletin, 1, 12"
"Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales","M Cherrie, S Rhodes, J Wilkinson, W Mueller, V Nafilyan, ...","Scandinavian Journal of Work, Environment & Health","48 (8), 611-620",0,2022,NA,NA,"M Cherrie, S Rhodes, J Wilkinson, W Mueller, V Nafilyan, ... (2022) Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales.Scandinavian Journal of Work, Environment & Health, 48 (8), 611-620"
"Occupational exposure to solar UV radiation: methods and first results of a multi-disciplinary expert assessment within the EPHOR project","ET Würtz, A Modenese, M Cherrie, K Grandahl, A Dahlman-Höglund, ...","","33rd International Congress on Occupational Health 2022 (ICOH 2022) 13, S248",0,2022,NA,NA,"ET Würtz, A Modenese, M Cherrie, K Grandahl, A Dahlman-Höglund, ... (2022) Occupational exposure to solar UV radiation: methods and first results of a multi-disciplinary expert assessment within the EPHOR project., 33rd International Congress on Occupational Health 2022 (ICOH 2022) 13, S248"
"S-301 Sensing and sampling for the external exposome in occupational studies","M Loh, E Kuijpers, S Ruiter, S Steinle, J Mink, K Holgenelst, P Tromp, ...","Occupational and Environmental Medicine","78 (Suppl 1), A157-A157",0,2021,NA,NA,"M Loh, E Kuijpers, S Ruiter, S Steinle, J Mink, K Holgenelst, P Tromp, ... (2021) S-301 Sensing and sampling for the external exposome in occupational studies.Occupational and Environmental Medicine, 78 (Suppl 1), A157-A157"
"Antenatal Exposure to UV-B Radiation and Preeclampsia: A Retrospective Cohort Study","CE Hastie, DF Mackay, TL Clemens, MPC Cherrie, LJ Megaw, GCS Smith, ...","Journal of the American Heart Association","10 (13), e020246",0,2021,NA,NA,"CE Hastie, DF Mackay, TL Clemens, MPC Cherrie, LJ Megaw, GCS Smith, ... (2021) Antenatal Exposure to UVB Radiation and Preeclampsia: A Retrospective Cohort Study.Journal of the American Heart Association, 10 (13), e020246"
"Meteorological factors are associated with asthma prevalence in England","NJ Osborne, C Sarran, MP Cherrie","ISEE Conference Abstracts","2020 (1)",0,2020,NA,NA,"NJ Osborne, C Sarran, MP Cherrie (2020) Meteorological factors are associated with asthma prevalence in England.ISEE Conference Abstracts, 2020 (1)"
"Ultraviolet A correlates inversely with risk of COVID-19 death","M Cherrie, T Clemens, C Colandrea, Z Feng, D Webb, C Dibben, R Weller","British Journal of Dermatology","204-205",0,2020,NA,NA,"M Cherrie, T Clemens, C Colandrea, Z Feng, D Webb, C Dibben, R Weller (2020) Ultraviolet A correlates inversely with risk of COVID-19 death.British Journal of Dermatology, 204-205"
"Long-Term Exposure to Outdoor Air Pollution and COVID-19 Mortality: an ecological analysis in England","Z Feng, M Cherrie, C Dibben","medRxiv","",0,2020,NA,NA,"Z Feng, M Cherrie, C Dibben (2020) Long-Term Exposure to Outdoor Air Pollution and COVID-19 Mortality: an ecological analysis in England.medRxiv, "
"Tobacco point-of-sale displays, brand awareness, and smoking and vaping among young people in Scotland Insights for policymakers from the DISPLAY project In","S Haw, D Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ...","Stirling","",0,2020,NA,NA,"S Haw, D Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ... (2020) Tobacco point-of-sale displays, brand awareness, and smoking and vaping among young people in Scotland Insights for policymakers from the DISPLAY project In.Stirling, "
"Changing retail and sociocultural landscapes","S Haw, D Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ...","The impact of the point-of-sale tobacco display ban on young people in …","",0,2020,NA,NA,"S Haw, D Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ... (2020) Changing retail and sociocultural landscapes.The impact of the point-of-sale tobacco display ban on young people in , "
"Changing labour market conditions during the ‘great recession'and mental health in Scotland 2007-2011: an example using the Scottish Longitudinal Study and data for local areas …","J Pearce, S Curtis, M Cherrie, C Dibben, N Cunningham, C Bambra","European Journal of Public Health","28 (suppl_4), cky213. 062",0,2018,NA,NA,"J Pearce, S Curtis, M Cherrie, C Dibben, N Cunningham, C Bambra (2018) Changing labour market conditions during the great recession'and mental health in Scotland 2007-2011: an example using the Scottish Longitudinal Study and data for local areas .European Journal of Public Health, 28 (suppl_4), cky213. 062"
"Has point-of-sale legislation led to a reduction in exposure to tobacco retailing?","J Pearce, M Cherrie, C Best, D Eadie, M Stead, A Amos, A MacGregor, ...","European Journal of Public Health","28 (suppl_4), cky213. 196",0,2018,NA,NA,"J Pearce, M Cherrie, C Best, D Eadie, M Stead, A Amos, A MacGregor, ... (2018) Has point-of-sale legislation led to a reduction in exposure to tobacco retailing?.European Journal of Public Health, 28 (suppl_4), cky213. 196"
"P6 Varying mental health in the population across scotland during the recent recession","M Cherrie, J Pearce, S Curtis, C Dibben, N Cunningham, C Bambra","J Epidemiol Community Health","72 (Suppl 1), A63-A64",0,2018,NA,NA,"M Cherrie, J Pearce, S Curtis, C Dibben, N Cunningham, C Bambra (2018) P6 Varying mental health in the population across scotland during the recent recession.J Epidemiol Community Health, 72 (Suppl 1), A63-A64"
"S4-01-03: LIFE COURSE AIR POLLUTION EXPOSURE AND COGNITIVE DECLINE IN SCOTLAND: MODELLED HISTORICAL AIR POLLUTION DATA AND THE LOTHIAN BIRTH COHORT 1936","TC Russ, MPC Cherrie, C Dibben, SJ Tomlinson, S Reis, U Dragosits, ...","Alzheimer's & Dementia","14 (7S_Part_26), P1381-P1381",0,2018,NA,NA,"TC Russ, MPC Cherrie, C Dibben, SJ Tomlinson, S Reis, U Dragosits, ... (2018) S40103: LIFE COURSE AIR POLLUTION EXPOSURE AND COGNITIVE DECLINE IN SCOTLAND: MODELLED HISTORICAL AIR POLLUTION DATA AND THE LOTHIAN BIRTH COHORT 1936.Alzheimer's & Dementia, 14 (7S_Part_26), P1381-P1381"
"Lifetime UVB and Risk of Osteoporosis in a British Population","N Osborne, C Sarran, L Fleming, M Cherrie","ISEE Conference Abstracts","",0,2018,NA,NA,"N Osborne, C Sarran, L Fleming, M Cherrie (2018) Lifetime UVB and Risk of Osteoporosis in a British Population.ISEE Conference Abstracts, "
" Association between area-level socioeconomic deprivation and mental health in later life: A retrospective life course analysis in the Lothian Birth Cohort 1936","M Cherrie, N Shortt, CW Thompson, I Deary, J Pearce","IMGS","2017",0,2017,NA,NA,"M Cherrie, N Shortt, CW Thompson, I Deary, J Pearce (2017)  Association between area-level socioeconomic deprivation and mental health in later life: A retrospective life course analysis in the Lothian Birth Cohort 1936.IMGS, 2017"
"Mobility Mood and Place: Key Findings","I Scott, K Brookfield, CW Thompson, N Thin, J Starr, I Deary, M Cherrie, ...","","",0,2017,NA,NA,"I Scott, K Brookfield, CW Thompson, N Thin, J Starr, I Deary, M Cherrie, ... (2017) Mobility Mood and Place: Key Findings., "
"Geographies of smoking: examining point of sale legislation and youth smoking in Scotland","J Pearce, M Cherrie","","",0,2017,NA,NA,"J Pearce, M Cherrie (2017) Geographies of smoking: examining point of sale legislation and youth smoking in Scotland., "
"Neighbourhood parks and cognitive ageing","M Cherrie, I Deary, C Lancaster, J Pearce, E Rind, N Shortt, C Tisch, ...","","",0,2017,NA,NA,"M Cherrie, I Deary, C Lancaster, J Pearce, E Rind, N Shortt, C Tisch, ... (2017) Neighbourhood parks and cognitive ageing., "
"Mobility, Mood and Place Key Findings","K Brookfield, CW Thompson, R Coyne, N Thin, J Pearce, N Shortt, ...","","",0,2017,NA,NA,"K Brookfield, CW Thompson, R Coyne, N Thin, J Pearce, N Shortt, ... (2017) Mobility, Mood and Place Key Findings., "
"Asthma hospitalisation is associated with natural environments and their interaction with long-term pollutant exposure","I Alcock, M Cherrie, M White, B Wheeler, S Vardoulakis, EO im Kampe, ...","ISEE Conference Abstracts","",0,2016,NA,NA,"I Alcock, M Cherrie, M White, B Wheeler, S Vardoulakis, EO im Kampe, ... (2016) Asthma hospitalisation is associated with natural environments and their interaction with long-term pollutant exposure.ISEE Conference Abstracts, "
"Association between vitamin D status and asthma: a secondary analysis of the 1958 Birth Cohort, UK","M Cherrie, NJ Osborne, C Sarran","Clinical and Experimental Allergy","45 (2), 536-536",0,2015,NA,NA,"M Cherrie, NJ Osborne, C Sarran (2015) Association between vitamin D status and asthma: a secondary analysis of the 1958 Birth Cohort, UK.Clinical and Experimental Allergy, 45 (2), 536-536"
"Directed acyclic graphs for the study of effects of occupation on risk of COVID-19-related outcomes.","J Wilkinson, S Beale, M Cherrie, R Edge, D Fishwick, M Gittins, ...","","",0,NA,NA,NA,"J Wilkinson, S Beale, M Cherrie, R Edge, D Fishwick, M Gittins, ... (NA) Directed acyclic graphs for the study of effects of occupation on risk of COVID-19-related outcomes.., "
"Land cover and air pollution are associated with asthma hospitalisations","I Alcock, M White, M Cherrie, B Wheeler, J Taylor, R McInnes, ...","","",0,NA,NA,NA,"I Alcock, M White, M Cherrie, B Wheeler, J Taylor, R McInnes, ... (NA) Land cover and air pollution are associated with asthma hospitalisations., "
"Changing labour market conditions during the ‘great recession’and mental health in","S Curtis, J Pearce, M Cherrie, C Dibben","Geography","33 (3), 407-1",0,NA,NA,NA,"S Curtis, J Pearce, M Cherrie, C Dibben (NA) Changing labour market conditions during the great recessionand mental health in.Geography, 33 (3), 407-1"
"Google Earth Engine: NDVI in Scotland 2001-2017","M Cherrie","","",0,NA,NA,NA,"M Cherrie (NA) Google Earth Engine: NDVI in Scotland 2001-2017., "
"Ranking cancer risks of organic hazardous air pollutants in the United States","MM Loh, JI Levy, JD Spengler, EA Houseman, DH Bennett","Environmental health perspectives","115 (8), 1160-1168",193,2007,"11025132516634435258",NA,"MM Loh, JI Levy, JD Spengler, EA Houseman, DH Bennett (2007) Ranking cancer risks of organic hazardous air pollutants in the United States.Environmental health perspectives, 115 (8), 1160-1168"
"Effectiveness of face masks used to protect Beijing residents against particulate air pollution","JW Cherrie, A Apsley, H Cowie, S Steinle, W Mueller, C Lin, CJ Horwell, ...","Occupational and environmental medicine","75 (6), 446-452",148,2018,"9598586741493760993",NA,"JW Cherrie, A Apsley, H Cowie, S Steinle, W Mueller, C Lin, CJ Horwell, ... (2018) Effectiveness of face masks used to protect Beijing residents against particulate air pollution.Occupational and environmental medicine, 75 (6), 446-452"
"Introduction to the special issue “In-depth study of air pollution sources and processes within Beijing and its surrounding region (APHH-Beijing)”","Z Shi, T Vu, S Kotthaus, RM Harrison, S Grimmond, S Yue, T Zhu, J Lee, ...","Atmospheric Chemistry and Physics","19 (11), 7519-7546",100,2019,"16449092350043134561,7698332170800932094",NA,"Z Shi, T Vu, S Kotthaus, RM Harrison, S Grimmond, S Yue, T Zhu, J Lee, ... (2019) Introduction to the special issue In-depth study of air pollution sources and processes within Beijing and its surrounding region (APHH-Beijing).Atmospheric Chemistry and Physics, 19 (11), 7519-7546"
"Measured concentrations of VOCs in several non-residential microenvironments in the United States","MM Loh, EA Houseman, GM Gray, JI Levy, JD Spengler, DH Bennett","Environmental Science & Technology","40 (22), 6903-6911",95,2006,"13483594164118957794",NA,"MM Loh, EA Houseman, GM Gray, JI Levy, JD Spengler, DH Bennett (2006) Measured concentrations of VOCs in several non-residential microenvironments in the United States.Environmental Science & Technology, 40 (22), 6903-6911"
"Ozone and cause-specific cardiorespiratory morbidity and mortality","JI Halonen, T Lanki, P Tiittanen, JV Niemi, M Loh, J Pekkanen","Journal of Epidemiology & Community Health","64 (9), 814-820",90,2010,"13226732702958751685",NA,"JI Halonen, T Lanki, P Tiittanen, JV Niemi, M Loh, J Pekkanen (2010) Ozone and cause-specific cardiorespiratory morbidity and mortality.Journal of Epidemiology & Community Health, 64 (9), 814-820"
"How sensors might help define the external exposome","M Loh, D Sarigiannis, A Gotti, S Karakitsios, A Pronk, E Kuijpers, ...","International journal of environmental research and public health","14 (4), 434",83,2017,"15835745641312476124",NA,"M Loh, D Sarigiannis, A Gotti, S Karakitsios, A Pronk, E Kuijpers, ... (2017) How sensors might help define the external exposome.International journal of environmental research and public health, 14 (4), 434"
