"title","author","journal","number","cites","year","cid","pubid","citation"
"Health effects of fine particulate matter in life cycle impact assessment: findings from the Basel Guidance Workshop","P Fantke, O Jolliet, JS Evans, JS Apte, AJ Cohen, OO Hänninen, F Hurley, ...","The International Journal of Life Cycle Assessment","20 (2), 276-288",73,2015,"10588678598437993796",NA,"P Fantke, O Jolliet, JS Evans, JS Apte, AJ Cohen, OO Hänninen, F Hurley, ... (2015) Health effects of fine particulate matter in life cycle impact assessment: findings from the Basel Guidance Workshop.The International Journal of Life Cycle Assessment, 20 (2), 276-288"
"Indoor inhalation intake fractions of fine particulate matter: review of influencing factors","N Hodas, M Loh, HM Shin, D Li, D Bennett, TE McKone, O Jolliet, ...","Indoor Air","26 (6), 836-856",70,2016,"8541242306465570891",NA,"N Hodas, M Loh, HM Shin, D Li, D Bennett, TE McKone, O Jolliet, ... (2016) Indoor inhalation intake fractions of fine particulate matter: review of influencing factors.Indoor Air, 26 (6), 836-856"
"Improving environmental health literacy and justice through environmental exposure results communication","MD Ramirez-Andreotta, JG Brody, N Lothrop, M Loh, PI Beamer, P Brown","International journal of environmental research and public health","13 (7), 690",66,2016,"13973687590756120256",NA,"MD Ramirez-Andreotta, JG Brody, N Lothrop, M Loh, PI Beamer, P Brown (2016) Improving environmental health literacy and justice through environmental exposure results communication.International journal of environmental research and public health, 13 (7), 690"
"Evaluation of the European population intake fractions for European and Finnish anthropogenic primary fine particulate matter emissions","M Tainio, M Sofiev, M Hujo, JT Tuomisto, M Loh, MJ Jantunen, ...","Atmospheric environment","43 (19), 3052-3059",49,2009,"13558272275414476451",NA,"M Tainio, M Sofiev, M Hujo, JT Tuomisto, M Loh, MJ Jantunen, ... (2009) Evaluation of the European population intake fractions for European and Finnish anthropogenic primary fine particulate matter emissions.Atmospheric environment, 43 (19), 3052-3059"
"WHO Guidelines for Indoor Air quality: selected pollutants","R Harrison, JMD Saborit, F Dor, R Henderson, D Penney, V Benignus, ...","World Health Organization, Geneva","",48,2010,"13426444396910731597,577372838366851200",NA,"R Harrison, JMD Saborit, F Dor, R Henderson, D Penney, V Benignus, ... (2010) WHO Guidelines for Indoor Air quality: selected pollutants.World Health Organization, Geneva, "
"Different cardiorespiratory effects of indoor air pollution intervention with ionization air purifier: findings from a randomized, double-blind crossover study among school …","W Dong, S Liu, M Chu, B Zhao, D Yang, C Chen, MR Miller, M Loh, J Xu, ...","Environmental Pollution","254, 113054",44,2019,"1962978993345871855",NA,"W Dong, S Liu, M Chu, B Zhao, D Yang, C Chen, MR Miller, M Loh, J Xu, ... (2019) Different cardiorespiratory effects of indoor air pollution intervention with ionization air purifier: findings from a randomized, double-blind crossover study among school .Environmental Pollution, 254, 113054"
"How harmful is particulate matter emitted from biomass burning? A Thailand perspective","HJ Johnston, W Mueller, S Steinle, S Vardoulakis, K Tantrakarnapa, ...","Current Pollution Reports","5 (4), 353-377",43,2019,"8860936617554416649",NA,"HJ Johnston, W Mueller, S Steinle, S Vardoulakis, K Tantrakarnapa, ... (2019) How harmful is particulate matter emitted from biomass burning? A Thailand perspective.Current Pollution Reports, 5 (4), 353-377"
"Differences in metal concentration by particle size in house dust and soil","PI Beamer, CA Elish, DJ Roe, MM Loh, DW Layton","Journal of Environmental Monitoring","14 (3), 839-844",42,2012,"9530771879982180286",NA,"PI Beamer, CA Elish, DJ Roe, MM Loh, DW Layton (2012) Differences in metal concentration by particle size in house dust and soil.Journal of Environmental Monitoring, 14 (3), 839-844"
"Occupational and consumer risk estimates for nanoparticles emitted by laser printers","O Hänninen, I Brüske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, ...","Journal of Nanoparticle Research","12 (1), 91-99",41,2010,"14920425223952749374",NA,"O Hänninen, I Brüske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, ... (2010) Occupational and consumer risk estimates for nanoparticles emitted by laser printers.Journal of Nanoparticle Research, 12 (1), 91-99"
"Multimedia exposures to arsenic and lead for children near an inactive mine tailings and smelter site","MM Loh, A Sugeng, N Lothrop, W Klimecki, M Cox, ST Wilkinson, Z Lu, ...","Environmental research","146, 331-339",40,2016,"1978541852254275764",NA,"MM Loh, A Sugeng, N Lothrop, W Klimecki, M Cox, ST Wilkinson, Z Lu, ... (2016) Multimedia exposures to arsenic and lead for children near an inactive mine tailings and smelter site.Environmental research, 146, 331-339"
"Urban greenspace and the indoor environment: Pathways to health via indoor particulate matter, noise, and road noise annoyance","W Mueller, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, A Pronk, ...","Environmental research","180, 108850",37,2020,"13140531630088960128",NA,"W Mueller, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, A Pronk, ... (2020) Urban greenspace and the indoor environment: Pathways to health via indoor particulate matter, noise, and road noise annoyance.Environmental research, 180, 108850"
"Reporting back environmental exposure data and free choice learning","MD Ramirez-Andreotta, JG Brody, N Lothrop, M Loh, PI Beamer, P Brown","Environmental Health","15 (1), 1-6",36,2016,"6950229852133130506",NA,"MD Ramirez-Andreotta, JG Brody, N Lothrop, M Loh, PI Beamer, P Brown (2016) Reporting back environmental exposure data and free choice learning.Environmental Health, 15 (1), 1-6"
"Ambient particulate matter and biomass burning: an ecological time series study of respiratory and cardiovascular hospital visits in northern Thailand","W Mueller, M Loh, S Vardoulakis, HJ Johnston, S Steinle, N Precha, ...","Environmental Health","19 (1), 1-12",33,2020,"7406942988264197413",NA,"W Mueller, M Loh, S Vardoulakis, HJ Johnston, S Steinle, N Precha, ... (2020) Ambient particulate matter and biomass burning: an ecological time series study of respiratory and cardiovascular hospital visits in northern Thailand.Environmental Health, 19 (1), 1-12"
"In-mask temperature and humidity can validate respirator wear-time and indicate lung health status","JW Cherrie, S Wang, W Mueller, C Wendelboe-Nelson, M Loh","Journal of exposure science & environmental epidemiology","29 (4), 578-583",32,2019,"13884822472965457265",NA,"JW Cherrie, S Wang, W Mueller, C Wendelboe-Nelson, M Loh (2019) In-mask temperature and humidity can validate respirator wear-time and indicate lung health status.Journal of exposure science & environmental epidemiology, 29 (4), 578-583"
"Association of size-fractionated indoor particulate matter and black carbon with heart rate variability in healthy elderly women in Beijing","W Dong, L Pan, H Li, MR Miller, M Loh, S Wu, J Xu, X Yang, J Shan, ...","Indoor Air","28 (3), 373-382",32,2018,"18408449885604889911",NA,"W Dong, L Pan, H Li, MR Miller, M Loh, S Wu, J Xu, X Yang, J Shan, ... (2018) Association of sizefractionated indoor particulate matter and black carbon with heart rate variability in healthy elderly women in Beijing.Indoor Air, 28 (3), 373-382"
"Cardiorespiratory responses to low-level ozone exposure: the inDoor Ozone Study in childrEn (DOSE)","J Huang, Y Song, M Chu, W Dong, MR Miller, M Loh, J Xu, D Yang, R Chi, ...","Environment international","131, 105021",31,2019,"8125520294484386263",NA,"J Huang, Y Song, M Chu, W Dong, MR Miller, M Loh, J Xu, D Yang, R Chi, ... (2019) Cardiorespiratory responses to low-level ozone exposure: the inDoor Ozone Study in childrEn (DOSE).Environment international, 131, 105021"
"Analyzing patterns of community interest at a legacy mining waste site to assess and inform environmental health literacy efforts","MD Ramirez-Andreotta, N Lothrop, ST Wilkinson, RA Root, JF Artiola, ...","Journal of environmental studies and sciences","6 (3), 543-555",31,2016,"15169409472351734334",NA,"MD Ramirez-Andreotta, N Lothrop, ST Wilkinson, RA Root, JF Artiola, ... (2016) Analyzing patterns of community interest at a legacy mining waste site to assess and inform environmental health literacy efforts.Journal of environmental studies and sciences, 6 (3), 543-555"
"Home water treatment habits and effectiveness in a rural Arizona community","N Lothrop, ST Wilkinson, M Verhougstraete, A Sugeng, MM Loh, ...","Water","7 (3), 1217-1231",30,2015,"2077542567746124202",NA,"N Lothrop, ST Wilkinson, M Verhougstraete, A Sugeng, MM Loh, ... (2015) Home water treatment habits and effectiveness in a rural Arizona community.Water, 7 (3), 1217-1231"
"Intake fraction distributions for benzene from vehicles in the Helsinki metropolitan area","MM Loh, J Soares, A Karppinen, J Kukkonen, L Kangas, K Riikonen, ...","Atmospheric Environment","43 (2), 301-310",30,2009,"2802465342927250145",NA,"MM Loh, J Soares, A Karppinen, J Kukkonen, L Kangas, K Riikonen, ... (2009) Intake fraction distributions for benzene from vehicles in the Helsinki metropolitan area.Atmospheric Environment, 43 (2), 301-310"
"Association patterns for size-fractioned indoor particulate matter and black carbon and autonomic function differ between patients with chronic obstructive pulmonary disease …","L Pan, W Dong, H Li, MR Miller, Y Chen, M Loh, S Wu, J Xu, X Yang, ...","Environmental Pollution","236, 40-48",28,2018,"2345583406910610453",NA,"L Pan, W Dong, H Li, MR Miller, Y Chen, M Loh, S Wu, J Xu, X Yang, ... (2018) Association patterns for size-fractioned indoor particulate matter and black carbon and autonomic function differ between patients with chronic obstructive pulmonary disease .Environmental Pollution, 236, 40-48"
"Facemask use for community protection from air pollution disasters: An ethical overview and framework to guide agency decision making","F McDonald, CJ Horwell, R Wecker, L Dominelli, M Loh, R Kamanyire, ...","International Journal of Disaster Risk Reduction","43, 101376",27,2020,"14685632510946692914",NA,"F McDonald, CJ Horwell, R Wecker, L Dominelli, M Loh, R Kamanyire, ... (2020) Facemask use for community protection from air pollution disasters: An ethical overview and framework to guide agency decision making.International Journal of Disaster Risk Reduction, 43, 101376"
"Protecting healthcare workers from inhaled SARS-CoV-2 virus","JW Cherrie, M Loh, RJ Aitken","Occupational Medicine","70 (5), 335-337",25,2020,"12637731909947209672",NA,"JW Cherrie, M Loh, RJ Aitken (2020) Protecting healthcare workers from inhaled SARS-CoV-2 virus.Occupational Medicine, 70 (5), 335-337"
"Association of children’s urinary CC16 levels with arsenic concentrations in multiple environmental media","PI Beamer, WT Klimecki, M Loh, YO Van Horne, AJ Sugeng, N Lothrop, ...","International journal of environmental research and public health","13 (5), 521",23,2016,"13653627650333979417",NA,"PI Beamer, WT Klimecki, M Loh, YO Van Horne, AJ Sugeng, N Lothrop, ... (2016) Association of childrens urinary CC16 levels with arsenic concentrations in multiple environmental media.International journal of environmental research and public health, 13 (5), 521"
"Exposome-based public health interventions for infectious diseases in urban settings","XD Andrianou, A Pronk, KS Galea, R Stierum, M Loh, F Riccardo, ...","Environment international","146, 106246",19,2021,"16273991001027683478",NA,"XD Andrianou, A Pronk, KS Galea, R Stierum, M Loh, F Riccardo, ... (2021) Exposome-based public health interventions for infectious diseases in urban settings.Environment international, 146, 106246"
"Exposure to fine particulate matter promotes platelet activation and thrombosis via obesity-related inflammation","D Hu, X Jia, L Cui, J Liu, J Chen, Y Wang, W Niu, J Xu, MR Miller, M Loh, ...","Journal of Hazardous Materials","413, 125341",18,2021,"9492024165751823053",NA,"D Hu, X Jia, L Cui, J Liu, J Chen, Y Wang, W Niu, J Xu, MR Miller, M Loh, ... (2021) Exposure to fine particulate matter promotes platelet activation and thrombosis via obesity-related inflammation.Journal of Hazardous Materials, 413, 125341"
"Comparison of methods for converting Dylos particle number concentrations to PM2. 5 mass concentrations","R Franken, T Maggos, A Stamatelopoulou, M Loh, E Kuijpers, J Bartzis, ...","Indoor Air","29 (3), 450-459",18,2019,"6277040567036346065",NA,"R Franken, T Maggos, A Stamatelopoulou, M Loh, E Kuijpers, J Bartzis, ... (2019) Comparison of methods for converting Dylos particle number concentrations to PM2. 5 mass concentrations.Indoor Air, 29 (3), 450-459"
"Intake fraction variability between air pollution emission sources inside an urban area","M Tainio, P Holnicki, MM Loh, Z Nahorski","Risk analysis","34 (11), 2021-2034",16,2014,"3260015936317660944",NA,"M Tainio, P Holnicki, MM Loh, Z Nahorski (2014) Intake fraction variability between air pollution emission sources inside an urban area.Risk analysis, 34 (11), 2021-2034"
"The relationship between personal exposure and ambient PM2. 5 and black carbon in Beijing","C Lin, D Hu, X Jia, J Chen, F Deng, X Guo, MR Heal, H Cowie, ...","Science of The Total Environment","737, 139801",15,2020,"3105343017434805817",NA,"C Lin, D Hu, X Jia, J Chen, F Deng, X Guo, MR Heal, H Cowie, ... (2020) The relationship between personal exposure and ambient PM2. 5 and black carbon in Beijing.Science of The Total Environment, 737, 139801"
"In utero exposure to particulate air pollution during pregnancy: impact on birth weight and health through the life course","S Steinle, HJ Johnston, M Loh, W Mueller, S Vardoulakis, ...","International journal of environmental research and public health","17 (23), 8948",13,2020,"6236099538287140487",NA,"S Steinle, HJ Johnston, M Loh, W Mueller, S Vardoulakis, ... (2020) In utero exposure to particulate air pollution during pregnancy: impact on birth weight and health through the life course.International journal of environmental research and public health, 17 (23), 8948"
"Use of dust fall filters as passive samplers for metal concentrations in air for communities near contaminated mine tailings","PI Beamer, AJ Sugeng, MD Kelly, N Lothrop, W Klimecki, ST Wilkinson, ...","Environmental Science: Processes & Impacts","16 (6), 1275-1281",13,2014,"346037987406190944",NA,"PI Beamer, AJ Sugeng, MD Kelly, N Lothrop, W Klimecki, ST Wilkinson, ... (2014) Use of dust fall filters as passive samplers for metal concentrations in air for communities near contaminated mine tailings.Environmental Science: Processes & Impacts, 16 (6), 1275-1281"
"Biomonitoring for occupational exposure to diisocyanates: a systematic review","B Scholten, L Kenny, RC Duca, A Pronk, T Santonen, KS Galea, M Loh, ...","Annals of work exposures and health","64 (6), 569-585",12,2020,"13040967998025698476",NA,"B Scholten, L Kenny, RC Duca, A Pronk, T Santonen, KS Galea, M Loh, ... (2020) Biomonitoring for occupational exposure to diisocyanates: a systematic review.Annals of work exposures and health, 64 (6), 569-585"
"Atmospheric conditions and composition that influence PM2.5 oxidative potential in Beijing, China","SJ Campbell, K Wolfer, B Utinger, J Westwood, ZH Zhang, N Bukowiecki, ...","Atmospheric chemistry and physics","21 (7), 5549-5573",9,2021,"745496395574718505",NA,"SJ Campbell, K Wolfer, B Utinger, J Westwood, ZH Zhang, N Bukowiecki, ... (2021) Atmospheric conditions and composition that influence PM2.5 oxidative potential in Beijing, China.Atmospheric chemistry and physics, 21 (7), 5549-5573"
"D 5.3. 1/2 Methods and results of the HEIMTSA/INTARESE Common Case Study","R Friedrich, A Kuhn, B Bessagnet, M Blesl, D Bruchof, H Cowie, P Fantke, ...","The Institute of Occupational Medicine","",9,2011,"3475723473614123586",NA,"R Friedrich, A Kuhn, B Bessagnet, M Blesl, D Bruchof, H Cowie, P Fantke, ... (2011) D 5.3. 1/2 Methods and results of the HEIMTSA/INTARESE Common Case Study.The Institute of Occupational Medicine, "
"Modelling residential ventilation rates in European countries","A Asikainen, O Hänninen, A Kuhn, A Yang, M Loh, L Gerharz, N Brelih, ...","Proceedings of the Healthy Buildings Conference, Brisbane, Australia","8-12",8,2012,"517538885347817971",NA,"A Asikainen, O Hänninen, A Kuhn, A Yang, M Loh, L Gerharz, N Brelih, ... (2012) Modelling residential ventilation rates in European countries.Proceedings of the Healthy Buildings Conference, Brisbane, Australia, 8-12"
"Heat treatment for reuse of disposable respirators during Covid-19 pandemic: Is filtration and fit adversely affected?","M Loh, R Clark, J Cherrie","medRxiv","",7,2020,"97947621030282238",NA,"M Loh, R Clark, J Cherrie (2020) Heat treatment for reuse of disposable respirators during Covid-19 pandemic: Is filtration and fit adversely affected?.medRxiv, "
"A health impact assessment of long-term exposure to particulate air pollution in Thailand","W Mueller, S Vardoulakis, S Steinle, M Loh, HJ Johnston, N Precha, ...","Environmental Research Letters","16 (5), 055018",6,2021,"16538294258449132424",NA,"W Mueller, S Vardoulakis, S Steinle, M Loh, HJ Johnston, N Precha, ... (2021) A health impact assessment of long-term exposure to particulate air pollution in Thailand.Environmental Research Letters, 16 (5), 055018"
"Ethical considerations of recommending or distributing facemasks for community protection from ambient air pollution events","F McDonald, CJ Horwell, C Ugarte, R Kamanyire, R Wecker, L Dominelli, ...","Talk presented (by M) at IHRR/DWD conference ( The Impact of Hazard, Risk …","",6,2017,"1723805667497070913",NA,"F McDonald, CJ Horwell, C Ugarte, R Kamanyire, R Wecker, L Dominelli, ... (2017) Ethical considerations of recommending or distributing facemasks for community protection from ambient air pollution events.Talk presented (by M) at IHRR/DWD conference ( The Impact of Hazard, Risk , "
"D 5.3. 1/2 Methods and results of the HEIMTSA/INTARESE Common Case Study. The Institute of Occupational Medicine","R Friedrich, A Kuhn, B Bessagnet, M Blesl, D Bruchof, H Cowie, P Fantke, ...","","",6,2011,"12075327930112701637",NA,"R Friedrich, A Kuhn, B Bessagnet, M Blesl, D Bruchof, H Cowie, P Fantke, ... (2011) D 5.3. 1/2 Methods and results of the HEIMTSA/INTARESE Common Case Study. The Institute of Occupational Medicine., "
"Contribution to volatile organic compound exposures from time spent in stores and restaurants and bars","MM Loh, EA Houseman, JI Levy, JD Spengler, DH Bennett","Journal of Exposure Science & Environmental Epidemiology","19 (7), 660-673",6,2009,"8418297211162645546",NA,"MM Loh, EA Houseman, JI Levy, JD Spengler, DH Bennett (2009) Contribution to volatile organic compound exposures from time spent in stores and restaurants and bars.Journal of Exposure Science & Environmental Epidemiology, 19 (7), 660-673"
"Neighbourhood and path-based greenspace in three European countries: associations with objective physical activity","W Mueller, P Wilkinson, J Milner, S Vardoulakis, S Steinle, J Pärkkä, ...","BMC public health","21 (1), 1-13",5,2021,"6622101219423857656",NA,"W Mueller, P Wilkinson, J Milner, S Vardoulakis, S Steinle, J Pärkkä, ... (2021) Neighbourhood and path-based greenspace in three European countries: associations with objective physical activity.BMC public health, 21 (1), 1-13"
"Tetrachloroethylene","N Nijhuis, M Loh, P Harrison","WHO Guidelines for Indoor Air Quality: Selected Pollutants","",5,2010,"12381081417043843267",NA,"N Nijhuis, M Loh, P Harrison (2010) Tetrachloroethylene.WHO Guidelines for Indoor Air Quality: Selected Pollutants, "
"Healthcare-acquired clusters of COVID-19 across multiple wards in a Scottish health board","SJ Dancer, K Cormack, M Loh, C Coulombe, L Thomas, SJ Pravinkumar, ...","Journal of Hospital Infection","120, 23-30",4,2022,"8812283078085523782",NA,"SJ Dancer, K Cormack, M Loh, C Coulombe, L Thomas, SJ Pravinkumar, ... (2022) Healthcare-acquired clusters of COVID-19 across multiple wards in a Scottish health board.Journal of Hospital Infection, 120, 23-30"
"Atmospheric pollution and human health in a Chinese megacity (APHH-Beijing) programme. Final report","Z Shi, J Xu, R Harrison, W Bloss, J Allen, B Barratt, H Coe, R Doherty, ...","University of Birmingham","",4,2021,"12506838614933053081",NA,"Z Shi, J Xu, R Harrison, W Bloss, J Allen, B Barratt, H Coe, R Doherty, ... (2021) Atmospheric pollution and human health in a Chinese megacity (APHH-Beijing) programme. Final report.University of Birmingham, "
"Identification of potential markers for internal exposure to ambient ozone in oral cavity of healthy adults","D Hu, L Cui, Y Qi, X Jia, J Chen, W Niu, MR Miller, M Loh, H Zhou, F Deng, ...","Environmental Research","190, 109907",3,2020,"6110537363796891804",NA,"D Hu, L Cui, Y Qi, X Jia, J Chen, W Niu, MR Miller, M Loh, H Zhou, F Deng, ... (2020) Identification of potential markers for internal exposure to ambient ozone in oral cavity of healthy adults.Environmental Research, 190, 109907"
"Applying the exposome concept to working life health: The EU EPHOR project","A Pronk, M Loh, E Kuijpers, M Albin, J Selander, L Godderis, M Ghosh, ...","Environmental Epidemiology","6 (2)",2,2022,"165228254298151140",NA,"A Pronk, M Loh, E Kuijpers, M Albin, J Selander, L Godderis, M Ghosh, ... (2022) Applying the exposome concept to working life health: The EU EPHOR project.Environmental Epidemiology, 6 (2)"
"Exposure to urban greenspace and pathways to respiratory health: An exploratory systematic review","W Mueller, J Milner, M Loh, S Vardoulakis, P Wilkinson","Science of The Total Environment","154447",2,2022,"1995832323439287422",NA,"W Mueller, J Milner, M Loh, S Vardoulakis, P Wilkinson (2022) Exposure to urban greenspace and pathways to respiratory health: An exploratory systematic review.Science of The Total Environment, 154447"
"Using a co-created transdisciplinary approach to explore the complexity of air pollution in informal settlements","SE West, CJ Bowyer, W Apondo, P Büker, S Cinderby, CM Gray, M Hahn, ...","Humanities and Social Sciences Communications","8 (1), 1-13",2,2021,"3400337019512570632",NA,"SE West, CJ Bowyer, W Apondo, P Büker, S Cinderby, CM Gray, M Hahn, ... (2021) Using a co-created transdisciplinary approach to explore the complexity of air pollution in informal settlements.Humanities and Social Sciences Communications, 8 (1), 1-13"
"A scoping review of technologies and their applicability for exposome-based risk assessment in the oil and gas industry","E Kuijpers, L Van Wel, M Loh, KS Galea, KC Makris, R Stierum, ...","Annals of Work Exposures and Health","65 (9), 1011-1028",2,2021,"17670209138344795025",NA,"E Kuijpers, L Van Wel, M Loh, KS Galea, KC Makris, R Stierum, ... (2021) A scoping review of technologies and their applicability for exposome-based risk assessment in the oil and gas industry.Annals of Work Exposures and Health, 65 (9), 1011-1028"
"Exposure to ambient particulate matter and biomass burning during pregnancy: associations with birth weight in Thailand","W Mueller, K Tantrakarnapa, HJ Johnston, M Loh, S Steinle, ...","Journal of exposure science & environmental epidemiology","31 (4), 672-682",2,2021,"14868948857487480493",NA,"W Mueller, K Tantrakarnapa, HJ Johnston, M Loh, S Steinle, ... (2021) Exposure to ambient particulate matter and biomass burning during pregnancy: associations with birth weight in Thailand.Journal of exposure science & environmental epidemiology, 31 (4), 672-682"
"Exposure to environmental hazards and effects on chronic disease","M Loh","Environmental determinants of human health","27-49",2,2016,"847382994604793967",NA,"M Loh (2016) Exposure to environmental hazards and effects on chronic disease.Environmental determinants of human health, 27-49"
"Trichloroethylene","N Bonvallot, P Harrison, M Loh","WHO Guidelines for Indoor Air Quality: Selected Pollutants","",2,2010,"15442546818164935412",NA,"N Bonvallot, P Harrison, M Loh (2010) Trichloroethylene.WHO Guidelines for Indoor Air Quality: Selected Pollutants, "
"Estimation of health risks and safety margins due to inhalation of ultrafine particles and nanoparticles in selected occupational, consumer and environmental settings","O Hänninen, I Brüske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, ...","Journal of Physics: Conference Series","170 (1)",2,2009,"12159733057021799890",NA,"O Hänninen, I Brüske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, ... (2009) Estimation of health risks and safety margins due to inhalation of ultrafine particles and nanoparticles in selected occupational, consumer and environmental settings.Journal of Physics: Conference Series, 170 (1)"
"Contribution of secondary formation to indoor formaldehyde concentrations in Boston homes","M Loh, R Dodson, D Bennett","Proceedings from the","11th International Conference on Indoor Air Quality and …",2,2008,"15082214333437722797",NA,"M Loh, R Dodson, D Bennett (2008) Contribution of secondary formation to indoor formaldehyde concentrations in Boston homes.Proceedings from the, 11th International Conference on Indoor Air Quality and "
"An Ecological Study of COVID-19 Infection Rates within the UK Food and Drink Processing Industry","W Mueller, M Loh, T Fletcher, S Rhodes, L Pembrey, N Pearce, ...","Annals of work exposures and health","",1,2022,"3768985064769988624",NA,"W Mueller, M Loh, T Fletcher, S Rhodes, L Pembrey, N Pearce, ... (2022) An Ecological Study of COVID-19 Infection Rates within the UK Food and Drink Processing Industry.Annals of work exposures and health, "
"Stakeholders' Perceptions of Environmental and Public Health Risks Associated with Hydrocarbon Activities in and around the Vasilikos Energy Center, Cyprus","EG Kleovoulou, C Konstantinou, A Constantinou, E Kuijpers, M Loh, ...","International journal of environmental research and public health","18 (24), 13133",1,2021,"4758037392100894695",NA,"EG Kleovoulou, C Konstantinou, A Constantinou, E Kuijpers, M Loh, ... (2021) Stakeholders Perceptions of Environmental and Public Health Risks Associated with Hydrocarbon Activities in and around the Vasilikos Energy Center, Cyprus.International journal of environmental research and public health, 18 (24), 13133"
"Atmospheric conditions and composition that influence PM2.5 oxidative potential in Beijing, China.","SJ Campbell, K Wolfer, B Utinger, J Westwood, Z Zhang, N Bukiowiecki, ...","Atmospheric Chemistry & Physics Discussions","",1,2020,"14429034523582679186",NA,"SJ Campbell, K Wolfer, B Utinger, J Westwood, Z Zhang, N Bukiowiecki, ... (2020) Atmospheric conditions and composition that influence PM2.5 oxidative potential in Beijing, China..Atmospheric Chemistry & Physics Discussions, "
"Decontamination of respirators in the covid-19 pandemic","M Loh, JW Cherrie, RJ Aitken","bmj","369",1,2020,"11645313258145832505",NA,"M Loh, JW Cherrie, RJ Aitken (2020) Decontamination of respirators in the covid-19 pandemic.bmj, 369"
"Long-term exposure to outdoor air pollutants in Thailand: a health impact assessment","W Mueller, W Steinle, M Loh, S Vardoulakis, N Precha, W Kliengchuay, ...","Environmental Epidemiology","3, 277",1,2019,"3283038569918670650",NA,"W Mueller, W Steinle, M Loh, S Vardoulakis, N Precha, W Kliengchuay, ... (2019) Long-term exposure to outdoor air pollutants in Thailand: a health impact assessment.Environmental Epidemiology, 3, 277"
"A European Exposure Modeling Approach: Impact of Sociodemographic Factors on Time-use","A Yang, M Loh, A Kuhn, A Bartonova, L Gerharz","Epidemiology","22 (1), S213",1,2011,"9627400145259048803",NA,"A Yang, M Loh, A Kuhn, A Bartonova, L Gerharz (2011) A European Exposure Modeling Approach: Impact of Sociodemographic Factors on Time-use.Epidemiology, 22 (1), S213"
